"trinomial","opencontext_uri","opencontext_mirror_url","tdar_metadata_uri","state_source","link_identified"
"12B25","http://opencontext.org/subjects/C18F1E91-4B92-430D-336C-02AB319D75C0","http://opencontext.dainst.org/subjects/C18F1E91-4B92-430D-336C-02AB319D75C0","http://core.tdar.org/browse/site-name/13161/12b25","Indiana Site Files","2015-02-18 22:55:24.945459"
"12B26","http://opencontext.org/subjects/F39536A4-7A80-4393-76D7-3D652CD8EA3B","http://opencontext.dainst.org/subjects/F39536A4-7A80-4393-76D7-3D652CD8EA3B","http://core.tdar.org/browse/site-name/13194/12b26","Indiana Site Files","2015-02-18 22:55:31.521674"
"12B27","http://opencontext.org/subjects/065092B5-6351-4CAD-98B9-AA23A8127CCE","http://opencontext.dainst.org/subjects/065092B5-6351-4CAD-98B9-AA23A8127CCE","http://core.tdar.org/browse/site-name/13192/12b27","Indiana Site Files","2015-02-18 22:55:36.936888"
"12B28","http://opencontext.org/subjects/3BC69106-0D65-4A96-F087-24D08C09FBBF","http://opencontext.dainst.org/subjects/3BC69106-0D65-4A96-F087-24D08C09FBBF","http://core.tdar.org/browse/site-name/13193/12b28","Indiana Site Files","2015-02-18 22:55:40.285295"
"12B29","http://opencontext.org/subjects/46BCA4AC-A1A9-4F26-7D23-61F1B8C762F5","http://opencontext.dainst.org/subjects/46BCA4AC-A1A9-4F26-7D23-61F1B8C762F5","http://core.tdar.org/browse/site-name/13185/12b29","Indiana Site Files","2015-02-18 22:55:44.931107"
"12B30","http://opencontext.org/subjects/BCF52AEB-62DD-4F48-52EC-79A1FA8B50EE","http://opencontext.dainst.org/subjects/BCF52AEB-62DD-4F48-52EC-79A1FA8B50EE","http://core.tdar.org/browse/site-name/13196/12b30","Indiana Site Files","2015-02-18 22:55:50.924324"
"12B31","http://opencontext.org/subjects/B74FB812-7B4A-49E3-2363-52AF6CE66340","http://opencontext.dainst.org/subjects/B74FB812-7B4A-49E3-2363-52AF6CE66340","http://core.tdar.org/browse/site-name/13195/12b31","Indiana Site Files","2015-02-18 22:55:55.609733"
"12B32","http://opencontext.org/subjects/E550B698-83C8-4EAA-D686-4479933E5D1C","http://opencontext.dainst.org/subjects/E550B698-83C8-4EAA-D686-4479933E5D1C","http://core.tdar.org/browse/site-name/13167/12b32","Indiana Site Files","2015-02-18 22:56:00.244342"
"12B33","http://opencontext.org/subjects/DC19355E-537A-40FD-FD1F-D9E75D1FBE23","http://opencontext.dainst.org/subjects/DC19355E-537A-40FD-FD1F-D9E75D1FBE23","http://core.tdar.org/browse/site-name/13168/12b33","Indiana Site Files","2015-02-18 22:56:06.192354"
"12B34","http://opencontext.org/subjects/6FF46C37-A144-4681-BCCF-A038617653D4","http://opencontext.dainst.org/subjects/6FF46C37-A144-4681-BCCF-A038617653D4","http://core.tdar.org/browse/site-name/13169/12b34","Indiana Site Files","2015-02-18 22:56:10.833963"
